ID	species	population	site	distance	orientation	land
C1E2764	Blackcap	Germany	Mooswald	med	SW	continent
A270577	Blackcap	Azores	Terceira	resident	resident	island
A270584	Blackcap	Azores	Terceira	resident	resident	island
A270589	Blackcap	Azores	Terceira	resident	resident	island
A270591	Blackcap	Azores	Terceira	resident	resident	island
A270598	Blackcap	Azores	Terceira	resident	resident	island
1N23588	Blackcap	Canary	La_Palma	resident	resident	island
1N23590	Blackcap	Canary	La_Palma	resident	resident	island
2N96596	Blackcap	Canary	La_Palma	resident	resident	island
N968342	Blackcap	Canary	La_Palma	resident	resident	island
N968352	Blackcap	Canary	La_Palma	resident	resident	island
C2L3948	Blackcap	Austria	NA	med	SE	continent
C1E2800	Blackcap	Germany	Mooswald	med	SW	continent
UCM064	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM094	Blackcap	Álava	NA	short	SW	continent
C1E2772	Blackcap	Germany	Mooswald	med	SW	continent
UCM001	Blackcap	Austria	NA	med	SE	continent
UCM071	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM097	Blackcap	Álava	NA	short	SW	continent
C1E2740	Blackcap	Germany	Mooswald	med	SW	continent
KZ96082	Blackcap	Poland	NA	med	SE	continent
UCM066	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM095	Blackcap	Álava	NA	short	SW	continent
C2T9517	Blackcap	Germany	Mooswald	med	SW	continent
KZ97957	Blackcap	Poland	NA	med	SE	continent
UCM067	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM096	Blackcap	Álava	NA	short	SW	continent
C1E2707	Blackcap	Germany	Mooswald	med	SW	continent
UCM004	Blackcap	Austria	NA	med	SE	continent
UCM075	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM076	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM099	Blackcap	Spain_Gua	NA	short	SW	continent
UCM005	Blackcap	Austria	NA	med	SE	continent
UCM012	Blackcap	Germany	NA	med	SW	continent
UCM077	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM117	Blackcap	Spain_Gua	NA	short	SW	continent
UCM123	Blackcap	Spain_Gua	NA	short	SW	continent
UCM006	Blackcap	Austria	NA	med	SE	continent
UCM014	Blackcap	Germany	NA	med	SW	continent
UCM016	Blackcap	Germany	NA	med	SW	continent
UCM081	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM137	Blackcap	Spain_Gua	NA	short	SW	continent
UCM007	Blackcap	Austria	NA	med	SE	continent
UCM008	Blackcap	Austria	NA	med	SE	continent
UCM017	Blackcap	Germany	NA	med	SW	continent
UCM083	Blackcap	Spain_Gib	NA	resident	resident	continent
UCM139	Blackcap	Spain_Gua	NA	short	SW	continent
BRN10	Blackcap	UK	Berrow_and_Brean	med	NW	continent
EN01	Blackcap	UK	Chalfont_St._peter	med	NW	continent
