// Initial random seed:
1822485774561

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0, 1));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 996 4 0
4002 997 3 0
4003 996 3 1
4004 993 7 0
4005 990 10 0
4006 988 12 0
4007 989 11 0
4008 992 8 0
4009 987 13 0
4010 981 19 0
4011 976 24 0
4012 976 24 0
4013 974 25 1
4014 969 31 0
4015 967 32 1
4016 967 33 0
4017 969 30 1
4018 971 29 0
4019 968 31 1
4020 954 46 0
4021 957 42 1
4022 962 37 1
4023 960 40 0
4024 960 40 0
4025 959 40 1
4026 943 57 0
4027 951 49 0
4028 949 51 0
4029 944 56 0
4030 939 61 0
4031 947 52 1
4032 943 55 2
4033 939 61 0
4034 940 57 3
4035 941 58 1
4036 936 63 1
4037 931 67 2
4038 930 70 0
4039 929 70 1
4040 930 70 0
4041 932 67 1
4042 924 75 1
4043 941 58 1
4044 932 68 0
4045 924 74 2
4046 929 71 0
4047 922 77 1
4048 936 63 1
4049 936 62 2
4050 938 62 0
4051 948 52 0
4052 939 61 0
4053 937 61 2
4054 930 68 2
4055 921 78 1
4056 927 70 3
4057 931 68 1
4058 935 65 0
4059 941 57 2
4060 946 53 1
4061 935 65 0
4062 938 61 1
4063 932 67 1
4064 933 65 2
4065 938 61 1
4066 941 56 3
4067 944 55 1
4068 931 69 0
4069 933 66 1
4070 936 63 1
4071 932 66 2
4072 926 72 2
4073 933 62 5
4074 934 66 0
4075 920 80 0
4076 923 75 2
4077 915 85 0
4078 919 78 3
4079 930 67 3
4080 923 77 0
4081 917 82 1
4082 933 64 3
4083 924 72 4
4084 923 74 3
4085 919 81 0
4086 916 82 2
4087 915 81 4
4088 908 90 2
4089 908 90 2
4090 920 77 3
4091 909 91 0
4092 897 101 2
4093 891 103 6
4094 894 100 6
4095 895 102 3
4096 905 91 4
4097 919 78 3
4098 903 93 4
4099 891 107 2
4100 853 143 4
4101 849 141 10
4102 843 147 10
4103 838 155 7
4104 851 144 5
4105 857 136 7
4106 860 132 8
4107 869 125 6
4108 875 118 7
4109 877 117 6
4110 893 106 1
4111 879 121 0
4112 896 102 2
4113 903 91 6
4114 892 106 2
4115 888 106 6
4116 889 108 3
4117 893 106 1
4118 890 106 4
4119 896 102 2
4120 887 110 3
4121 878 120 2
4122 895 102 3
4123 886 111 3
4124 881 117 2
4125 878 119 3
4126 876 122 2
4127 874 121 5
4128 886 112 2
4129 895 103 2
4130 896 99 5
4131 888 109 3
4132 893 105 2
4133 890 109 1
4134 887 111 2
4135 906 92 2
4136 911 88 1
4137 903 93 4
4138 881 116 3
4139 875 123 2
4140 858 136 6
4141 877 112 11
4142 878 119 3
4143 875 123 2
4144 885 109 6
4145 894 103 3
4146 910 90 0
4147 906 92 2
4148 901 94 5
4149 884 113 3
4150 881 118 1
4151 892 103 5
4152 878 118 4
4153 867 132 1
4154 884 115 1
4155 900 94 6
4156 892 104 4
4157 883 115 2
4158 882 117 1
4159 884 112 4
4160 870 127 3
4161 889 101 10
4162 890 108 2
4163 894 105 1
4164 892 102 6
4165 879 119 2
4166 883 114 3
4167 891 106 3
4168 893 104 3
4169 872 126 2
4170 881 112 7
4171 887 106 7
4172 870 123 7
4173 863 133 4
4174 882 115 3
4175 872 127 1
4176 881 111 8
4177 894 104 2
4178 903 96 1
4179 917 81 2
4180 898 101 1
4181 887 109 4
4182 890 105 5
4183 895 101 4
4184 896 103 1
4185 914 83 3
4186 917 82 1
4187 922 78 0
4188 932 67 1
4189 935 64 1
4190 923 76 1
4191 932 65 3
4192 930 69 1
4193 936 63 1
4194 951 49 0
4195 960 37 3
4196 964 36 0
4197 959 40 1
4198 954 45 1
4199 964 35 1
4200 966 34 0
4201 974 26 0
4202 977 23 0
4203 982 18 0
4204 980 20 0
4205 982 18 0
4206 987 13 0
4207 986 14 0
4208 986 14 0
4209 987 13 0
4210 985 15 0
4211 983 17 0
4212 984 16 0
4213 975 25 0
4214 975 25 0
4215 984 16 0
4216 989 11 0
4217 988 12 0
4218 987 13 0
4219 981 19 0
4220 975 25 0
4221 980 20 0
4222 979 21 0
4223 975 25 0
4224 974 26 0
4225 971 29 0
4226 974 26 0
4227 969 31 0
4228 978 21 1
4229 983 17 0
4230 980 20 0
4231 978 22 0
4232 978 22 0
4233 975 25 0
4234 974 25 1
4235 977 23 0
4236 974 26 0
4237 975 25 0
4238 978 22 0
4239 986 14 0
4240 986 14 0
4241 984 16 0
4242 990 10 0
4243 989 11 0
4244 994 6 0
4245 996 4 0
4246 993 7 0
4247 994 6 0
4248 994 6 0
4249 991 9 0
4250 991 9 0
4251 990 10 0
4252 995 5 0
4253 997 3 0
4254 999 1 0
4255 999 1 0
4256 1000 0 0
