// Initial random seed:
1823015844930

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(0, 1));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 996 4 0
4002 997 3 0
4003 998 2 0
4004 996 4 0
4005 995 5 0
4006 996 4 0
4007 994 6 0
4008 998 2 0
4009 996 4 0
4010 993 7 0
4011 989 11 0
4012 988 12 0
4013 990 10 0
4014 989 11 0
4015 990 10 0
4016 992 8 0
4017 993 7 0
4018 994 6 0
4019 995 5 0
4020 993 7 0
4021 991 9 0
4022 988 12 0
4023 981 19 0
4024 981 19 0
4025 985 15 0
4026 984 16 0
4027 986 14 0
4028 987 13 0
4029 989 11 0
4030 989 11 0
4031 988 12 0
4032 987 13 0
4033 982 18 0
4034 987 13 0
4035 992 8 0
4036 992 8 0
4037 992 8 0
4038 987 13 0
4039 990 10 0
4040 996 4 0
4041 996 4 0
4042 999 1 0
4043 1000 0 0
