// Initial random seed:
1688681995734

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0, 1));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 997 3 0
4002 992 8 0
4003 997 3 0
4004 993 7 0
4005 993 7 0
4006 990 10 0
4007 991 9 0
4008 993 7 0
4009 991 9 0
4010 992 8 0
4011 988 12 0
4012 988 12 0
4013 975 25 0
4014 973 27 0
4015 971 28 1
4016 964 36 0
4017 959 41 0
4018 959 41 0
4019 952 48 0
4020 957 43 0
4021 953 47 0
4022 962 38 0
4023 958 42 0
4024 960 39 1
4025 958 42 0
4026 958 42 0
4027 961 37 2
4028 963 37 0
4029 964 36 0
4030 970 30 0
4031 968 32 0
4032 961 39 0
4033 954 46 0
4034 947 52 1
4035 949 49 2
4036 946 54 0
4037 952 48 0
4038 947 51 2
4039 949 50 1
4040 948 52 0
4041 962 37 1
4042 956 44 0
4043 958 41 1
4044 955 45 0
4045 951 49 0
4046 951 49 0
4047 951 48 1
4048 946 54 0
4049 947 52 1
4050 935 64 1
4051 928 70 2
4052 935 65 0
4053 936 64 0
4054 940 59 1
4055 935 64 1
4056 944 56 0
4057 941 56 3
4058 939 61 0
4059 961 38 1
4060 958 39 3
4061 958 40 2
4062 954 46 0
4063 958 42 0
4064 959 40 1
4065 967 33 0
4066 966 34 0
4067 969 31 0
4068 967 33 0
4069 953 46 1
4070 957 42 1
4071 950 49 1
4072 946 52 2
4073 946 54 0
4074 956 44 0
4075 952 48 0
4076 951 49 0
4077 947 53 0
4078 951 49 0
4079 949 50 1
4080 952 48 0
4081 949 51 0
4082 957 41 2
4083 961 39 0
4084 961 38 1
4085 951 48 1
4086 952 47 1
4087 951 49 0
4088 938 60 2
4089 941 58 1
4090 943 56 1
4091 936 64 0
4092 947 53 0
4093 946 54 0
4094 940 60 0
4095 944 56 0
4096 942 58 0
4097 944 56 0
4098 945 55 0
4099 953 46 1
4100 954 45 1
4101 952 48 0
4102 947 52 1
4103 949 49 2
4104 940 58 2
4105 937 61 2
4106 936 64 0
4107 927 73 0
4108 919 81 0
4109 907 93 0
4110 910 87 3
4111 896 101 3
4112 899 99 2
4113 894 101 5
4114 896 101 3
4115 883 115 2
4116 889 105 6
4117 892 102 6
4118 880 114 6
4119 855 140 5
4120 854 140 6
4121 851 143 6
4122 856 136 8
4123 864 130 6
4124 852 140 8
4125 849 145 6
4126 858 135 7
4127 865 129 6
4128 867 128 5
4129 861 131 8
4130 846 151 3
4131 858 135 7
4132 855 140 5
4133 840 154 6
4134 847 146 7
4135 845 146 9
4136 837 159 4
4137 837 160 3
4138 850 143 7
4139 854 143 3
4140 862 134 4
4141 855 140 5
4142 831 160 9
4143 821 175 4
4144 826 163 11
4145 848 139 13
4146 835 159 6
4147 838 158 4
4148 836 159 5
4149 844 147 9
4150 860 133 7
4151 867 124 9
4152 868 125 7
4153 847 148 5
4154 863 130 7
4155 850 144 6
4156 843 150 7
4157 841 151 8
4158 850 142 8
4159 850 142 8
4160 835 161 4
4161 838 158 4
4162 848 144 8
4163 836 155 9
4164 827 163 10
4165 818 171 11
4166 827 167 6
4167 856 137 7
4168 851 139 10
4169 856 137 7
4170 852 139 9
4171 881 116 3
4172 865 128 7
4173 873 120 7
4174 862 133 5
4175 870 120 10
4176 894 101 5
4177 903 93 4
4178 911 87 2
4179 894 103 3
4180 898 99 3
4181 909 89 2
4182 918 79 3
4183 910 89 1
4184 912 87 1
4185 913 86 1
4186 921 77 2
4187 927 73 0
4188 932 66 2
4189 944 55 1
4190 938 62 0
4191 948 52 0
4192 958 42 0
4193 955 43 2
4194 954 46 0
4195 958 41 1
4196 958 42 0
4197 949 51 0
4198 949 50 1
4199 961 39 0
4200 964 36 0
4201 962 38 0
4202 961 39 0
4203 963 36 1
4204 957 43 0
4205 958 41 1
4206 955 45 0
4207 948 51 1
4208 953 47 0
4209 952 48 0
4210 958 41 1
4211 959 41 0
4212 955 43 2
4213 952 47 1
4214 951 48 1
4215 959 41 0
4216 960 40 0
4217 961 39 0
4218 955 45 0
4219 949 51 0
4220 954 46 0
4221 950 50 0
4222 962 38 0
4223 960 40 0
4224 971 29 0
4225 974 26 0
4226 973 27 0
4227 973 27 0
4228 979 21 0
4229 974 26 0
4230 972 28 0
4231 974 26 0
4232 981 19 0
4233 978 21 1
4234 983 17 0
4235 993 7 0
4236 997 3 0
4237 997 3 0
4238 997 3 0
4239 998 2 0
4240 998 2 0
4241 999 1 0
4242 998 2 0
4243 999 1 0
4244 999 1 0
4245 999 1 0
4246 999 1 0
4247 1000 0 0
