// Initial random seed:
1806955771273

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 997 3 0
4002 999 1 0
4003 997 3 0
4004 998 2 0
4005 997 3 0
4006 997 3 0
4007 997 3 0
4008 994 6 0
4009 994 6 0
4010 990 10 0
4011 988 12 0
4012 989 11 0
4013 986 14 0
4014 982 17 1
4015 982 18 0
4016 982 18 0
4017 978 22 0
4018 987 13 0
4019 986 14 0
4020 990 10 0
4021 991 9 0
4022 984 16 0
4023 978 22 0
4024 988 12 0
4025 986 14 0
4026 990 10 0
4027 987 13 0
4028 991 9 0
4029 996 4 0
4030 996 4 0
4031 998 2 0
4032 993 7 0
4033 991 9 0
4034 990 10 0
4035 987 13 0
4036 990 10 0
4037 990 10 0
4038 987 13 0
4039 984 16 0
4040 985 15 0
4041 986 14 0
4042 982 18 0
4043 987 13 0
4044 980 20 0
4045 972 28 0
4046 979 21 0
4047 968 30 2
4048 963 37 0
4049 966 33 1
4050 956 44 0
4051 950 50 0
4052 935 63 2
4053 911 86 3
4054 905 92 3
4055 896 103 1
4056 882 118 0
4057 897 100 3
4058 911 87 2
4059 905 94 1
4060 889 108 3
4061 890 108 2
4062 904 92 4
4063 905 91 4
4064 909 87 4
4065 917 79 4
4066 911 88 1
4067 921 77 2
4068 905 91 4
4069 901 96 3
4070 895 99 6
4071 897 102 1
4072 891 106 3
4073 877 122 1
4074 895 100 5
4075 890 105 5
4076 897 102 1
4077 912 87 1
4078 905 90 5
4079 899 99 2
4080 896 103 1
4081 898 100 2
4082 888 108 4
4083 881 116 3
4084 897 101 2
4085 888 111 1
4086 892 104 4
4087 888 112 0
4088 887 109 4
4089 900 95 5
4090 907 89 4
4091 895 102 3
4092 881 116 3
4093 860 137 3
4094 864 134 2
4095 869 124 7
4096 871 125 4
4097 858 136 6
4098 855 139 6
4099 835 157 8
4100 834 157 9
4101 827 159 14
4102 842 151 7
4103 840 155 5
4104 844 148 8
4105 857 137 6
4106 845 149 6
4107 811 184 5
4108 814 175 11
4109 790 199 11
4110 802 191 7
4111 824 167 9
4112 816 182 2
4113 831 163 6
4114 829 162 9
4115 820 169 11
4116 835 153 12
4117 845 149 6
4118 847 140 13
4119 840 152 8
4120 844 149 7
4121 830 159 11
4122 808 185 7
4123 822 168 10
4124 809 184 7
4125 812 180 8
4126 784 205 11
4127 780 209 11
4128 791 198 11
4129 784 206 10
4130 771 208 21
4131 768 218 14
4132 792 199 9
4133 806 185 9
4134 808 177 15
4135 799 194 7
4136 799 191 10
4137 814 176 10
4138 804 187 9
4139 816 177 7
4140 837 159 4
4141 855 140 5
4142 841 153 6
4143 844 145 11
4144 842 151 7
4145 859 137 4
4146 852 142 6
4147 863 129 8
4148 882 116 2
4149 875 123 2
4150 889 107 4
4151 890 108 2
4152 881 117 2
4153 879 120 1
4154 889 109 2
4155 895 101 4
4156 878 118 4
4157 904 93 3
4158 899 100 1
4159 905 91 4
4160 900 99 1
4161 896 99 5
4162 874 124 2
4163 883 112 5
4164 860 137 3
4165 853 141 6
4166 865 131 4
4167 847 149 4
4168 853 140 7
4169 848 148 4
4170 861 133 6
4171 850 141 9
4172 833 164 3
4173 829 165 6
4174 834 157 9
4175 822 174 4
4176 853 143 4
4177 848 149 3
4178 842 147 11
4179 849 148 3
4180 861 132 7
4181 859 137 4
4182 865 127 8
4183 854 142 4
4184 855 142 3
4185 845 144 11
4186 837 156 7
4187 824 166 10
4188 819 172 9
4189 830 163 7
4190 848 143 9
4191 847 148 5
4192 845 143 12
4193 834 158 8
4194 863 134 3
4195 863 128 9
4196 845 147 8
4197 853 144 3
4198 853 142 5
4199 853 143 4
4200 862 133 5
4201 862 132 6
4202 861 133 6
4203 868 125 7
4204 849 142 9
4205 843 153 4
4206 852 144 4
4207 834 160 6
4208 827 164 9
4209 827 161 12
4210 841 149 10
4211 835 156 9
4212 838 153 9
4213 835 161 4
4214 862 131 7
4215 868 130 2
4216 868 129 3
4217 877 122 1
4218 899 98 3
4219 886 110 4
4220 889 109 2
4221 886 112 2
4222 886 111 3
4223 883 112 5
4224 866 127 7
4225 870 124 6
4226 885 106 9
4227 867 128 5
4228 865 127 8
4229 871 126 3
4230 869 128 3
4231 884 112 4
4232 882 115 3
4233 886 112 2
4234 869 128 3
4235 870 129 1
4236 879 113 8
4237 859 135 6
4238 857 136 7
4239 862 131 7
4240 860 133 7
4241 867 129 4
4242 869 130 1
4243 871 124 5
4244 880 118 2
4245 874 123 3
4246 858 140 2
4247 864 131 5
4248 867 130 3
4249 856 136 8
4250 857 140 3
4251 882 113 5
4252 876 115 9
4253 861 136 3
4254 842 148 10
4255 819 176 5
4256 820 173 7
4257 847 145 8
4258 836 147 17
4259 822 168 10
4260 813 177 10
4261 802 185 13
4262 805 188 7
4263 802 180 18
4264 802 188 10
4265 789 202 9
4266 808 184 8
4267 824 163 13
4268 813 181 6
4269 815 174 11
4270 813 175 12
4271 817 173 10
4272 805 181 14
4273 813 172 15
4274 807 180 13
4275 816 174 10
4276 820 173 7
4277 825 166 9
4278 829 165 6
4279 820 169 11
4280 841 153 6
4281 827 161 12
4282 820 169 11
4283 824 167 9
4284 823 166 11
4285 836 156 8
4286 838 158 4
4287 841 152 7
4288 849 145 6
4289 838 155 7
4290 836 161 3
4291 854 142 4
4292 858 136 6
4293 859 135 6
4294 868 130 2
4295 889 108 3
4296 880 117 3
4297 880 114 6
4298 871 127 2
4299 873 122 5
4300 875 119 6
4301 857 141 2
4302 846 146 8
4303 824 173 3
4304 826 160 14
4305 814 174 12
4306 799 192 9
4307 783 202 15
4308 806 179 15
4309 804 188 8
4310 820 167 13
4311 814 173 13
4312 814 178 8
4313 828 164 8
4314 820 174 6
4315 827 162 11
4316 838 159 3
4317 831 161 8
4318 847 146 7
4319 829 164 7
4320 835 163 2
4321 839 153 8
4322 826 166 8
4323 829 163 8
4324 832 163 5
4325 819 174 7
4326 805 189 6
4327 807 186 7
4328 826 159 15
4329 826 163 11
4330 830 162 8
4331 816 173 11
4332 821 171 8
4333 830 166 4
4334 825 159 16
4335 828 168 4
4336 845 147 8
4337 819 177 4
4338 824 167 9
4339 820 175 5
4340 837 157 6
4341 843 147 10
4342 837 156 7
4343 826 172 2
4344 834 158 8
4345 825 168 7
4346 831 161 8
4347 853 139 8
4348 869 125 6
4349 879 117 4
4350 882 115 3
4351 882 115 3
4352 886 109 5
4353 870 127 3
4354 872 125 3
4355 879 119 2
4356 886 107 7
4357 881 117 2
4358 887 109 4
4359 877 119 4
4360 868 128 4
4361 888 108 4
4362 901 98 1
4363 904 95 1
4364 916 83 1
4365 907 90 3
4366 904 94 2
4367 907 92 1
4368 895 102 3
4369 902 96 2
4370 904 95 1
4371 908 89 3
4372 907 92 1
4373 902 97 1
4374 893 102 5
4375 883 114 3
4376 874 125 1
4377 887 110 3
4378 874 122 4
4379 870 122 8
4380 854 143 3
4381 865 128 7
4382 879 118 3
4383 879 117 4
4384 886 109 5
4385 880 119 1
4386 891 108 1
4387 897 99 4
4388 906 91 3
4389 905 91 4
4390 906 90 4
4391 902 95 3
4392 888 110 2
4393 873 122 5
4394 859 130 11
4395 859 135 6
4396 867 129 4
4397 861 134 5
4398 873 122 5
4399 870 127 3
4400 860 138 2
4401 851 143 6
4402 845 147 8
4403 843 147 10
4404 825 166 9
4405 810 180 10
4406 808 180 12
4407 791 195 14
4408 806 176 18
4409 803 191 6
4410 820 170 10
4411 801 187 12
4412 789 199 12
4413 785 196 19
4414 785 200 15
4415 804 185 11
4416 827 165 8
4417 840 154 6
4418 846 150 4
4419 844 147 9
4420 849 144 7
4421 839 156 5
4422 856 136 8
4423 861 129 10
4424 851 145 4
4425 833 161 6
4426 819 174 7
4427 812 179 9
4428 815 175 10
4429 808 177 15
4430 804 183 13
4431 806 183 11
4432 805 181 14
4433 792 197 11
4434 800 183 17
4435 793 197 10
4436 813 181 6
4437 815 175 10
4438 807 180 13
4439 795 198 7
4440 792 198 10
4441 790 198 12
4442 793 193 14
4443 785 203 12
4444 781 205 14
4445 773 219 8
4446 770 209 21
4447 772 224 4
4448 780 199 21
4449 800 191 9
4450 802 189 9
4451 789 201 10
4452 774 213 13
4453 776 215 9
4454 780 209 11
4455 766 221 13
4456 782 204 14
4457 781 202 17
4458 780 211 9
4459 791 200 9
4460 815 175 10
4461 799 188 13
4462 778 203 19
4463 784 202 14
4464 800 186 14
4465 801 185 14
4466 787 202 11
4467 792 192 16
4468 779 210 11
4469 772 215 13
4470 781 206 13
4471 780 198 22
4472 758 228 14
4473 760 219 21
4474 759 226 15
4475 776 205 19
4476 793 193 14
4477 773 211 16
4478 775 209 16
4479 780 202 18
4480 783 207 10
4481 796 192 12
4482 788 200 12
4483 800 190 10
4484 817 167 16
4485 807 189 4
4486 817 175 8
4487 808 186 6
4488 820 168 12
4489 826 166 8
4490 831 157 12
4491 840 148 12
4492 838 156 6
4493 823 168 9
4494 832 160 8
4495 813 179 8
4496 818 179 3
4497 845 146 9
4498 858 136 6
4499 860 135 5
4500 859 135 6
4501 856 137 7
4502 849 144 7
4503 838 155 7
4504 856 138 6
4505 855 143 2
4506 857 142 1
4507 854 138 8
4508 834 156 10
4509 826 166 8
4510 825 164 11
4511 826 167 7
4512 841 151 8
4513 838 151 11
4514 823 163 14
4515 834 159 7
4516 837 156 7
4517 819 177 4
4518 830 159 11
4519 848 143 9
4520 846 149 5
4521 853 143 4
4522 855 138 7
4523 839 155 6
4524 857 140 3
4525 854 143 3
4526 860 137 3
4527 862 133 5
4528 853 141 6
4529 841 153 6
4530 831 160 9
4531 859 135 6
4532 857 138 5
4533 833 160 7
4534 830 160 10
4535 823 173 4
4536 835 159 6
4537 848 146 6
4538 833 158 9
4539 816 178 6
4540 804 187 9
4541 807 179 14
4542 809 179 12
4543 805 187 8
4544 822 166 12
4545 830 165 5
4546 803 188 9
4547 798 188 14
4548 782 207 11
4549 804 189 7
4550 819 174 7
4551 833 161 6
4552 828 171 1
4553 842 149 9
4554 834 161 5
4555 833 161 6
4556 825 170 5
4557 819 174 7
4558 835 155 10
4559 850 141 9
4560 833 155 12
4561 841 153 6
4562 832 165 3
4563 846 147 7
4564 848 147 5
4565 854 140 6
4566 840 158 2
4567 864 128 8
4568 861 137 2
4569 860 136 4
4570 846 147 7
4571 849 146 5
4572 840 156 4
4573 832 160 8
4574 829 160 11
4575 827 166 7
4576 821 165 14
4577 850 147 3
4578 839 152 9
4579 833 157 10
4580 840 151 9
4581 826 169 5
4582 824 173 3
4583 830 159 11
4584 837 154 9
4585 843 148 9
4586 839 154 7
4587 841 153 6
4588 839 157 4
4589 843 148 9
4590 835 157 8
4591 858 136 6
4592 855 142 3
4593 852 143 5
4594 855 145 0
4595 865 129 6
4596 860 135 5
4597 858 134 8
