// Initial random seed:
1684085757265

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 999 1 0
4002 998 2 0
4003 996 4 0
4004 995 5 0
4005 992 8 0
4006 996 4 0
4007 991 9 0
4008 990 10 0
4009 988 12 0
4010 986 14 0
4011 993 7 0
4012 989 11 0
4013 988 12 0
4014 987 13 0
4015 988 12 0
4016 988 12 0
4017 990 10 0
4018 991 9 0
4019 987 13 0
4020 978 22 0
4021 985 15 0
4022 981 19 0
4023 987 13 0
4024 992 8 0
4025 992 8 0
4026 992 8 0
4027 993 7 0
4028 992 8 0
4029 994 6 0
4030 990 10 0
4031 989 11 0
4032 988 12 0
4033 993 7 0
4034 994 6 0
4035 994 6 0
4036 993 7 0
4037 992 8 0
4038 990 10 0
4039 993 7 0
4040 996 4 0
4041 997 3 0
4042 996 4 0
4043 992 8 0
4044 989 11 0
4045 987 13 0
4046 980 20 0
4047 983 17 0
4048 984 16 0
4049 987 13 0
4050 991 9 0
4051 991 9 0
4052 993 7 0
4053 997 3 0
4054 998 2 0
4055 997 3 0
4056 995 5 0
4057 998 2 0
4058 998 2 0
4059 998 2 0
4060 997 3 0
4061 999 1 0
4062 999 1 0
4063 1000 0 0
