// Initial random seed:
1684055743696

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 997 3 0
4002 998 2 0
4003 998 2 0
4004 998 2 0
4005 995 5 0
4006 993 7 0
4007 993 7 0
4008 993 7 0
4009 990 10 0
4010 991 9 0
4011 991 9 0
4012 992 8 0
4013 991 9 0
4014 992 8 0
4015 996 4 0
4016 997 3 0
4017 996 4 0
4018 995 5 0
4019 995 5 0
4020 997 3 0
4021 998 2 0
4022 996 4 0
4023 998 2 0
4024 999 1 0
4025 999 1 0
4026 997 3 0
4027 995 5 0
4028 989 11 0
4029 990 9 1
4030 984 16 0
4031 985 15 0
4032 989 11 0
4033 990 10 0
4034 993 7 0
4035 994 6 0
4036 993 7 0
4037 994 6 0
4038 993 7 0
4039 987 13 0
4040 981 19 0
4041 982 18 0
4042 986 14 0
4043 991 9 0
4044 990 10 0
4045 985 15 0
4046 983 17 0
4047 981 19 0
4048 976 24 0
4049 981 19 0
4050 977 23 0
4051 974 26 0
4052 967 32 1
4053 972 28 0
4054 975 25 0
4055 970 30 0
4056 962 37 1
4057 957 42 1
4058 961 39 0
4059 961 39 0
4060 951 49 0
4061 943 57 0
4062 947 52 1
4063 951 49 0
4064 955 44 1
4065 960 38 2
4066 956 44 0
4067 944 56 0
4068 935 64 1
4069 938 61 1
4070 946 53 1
4071 945 54 1
4072 943 57 0
4073 928 71 1
4074 917 81 2
4075 911 87 2
4076 908 92 0
4077 910 83 7
4078 913 86 1
4079 915 83 2
4080 912 86 2
4081 911 86 3
4082 917 82 1
4083 919 79 2
4084 907 91 2
4085 909 89 2
4086 913 86 1
4087 932 67 1
4088 926 73 1
4089 924 76 0
4090 926 73 1
4091 934 66 0
4092 935 65 0
4093 945 53 2
4094 932 66 2
4095 939 61 0
4096 931 68 1
4097 930 70 0
4098 937 63 0
4099 950 46 4
4100 946 52 2
4101 940 57 3
4102 932 66 2
4103 930 70 0
4104 927 72 1
4105 931 69 0
4106 927 72 1
4107 935 63 2
4108 934 64 2
4109 941 57 2
4110 939 61 0
4111 942 55 3
4112 934 65 1
4113 931 65 4
4114 938 59 3
4115 934 66 0
4116 945 54 1
4117 945 55 0
4118 952 48 0
4119 958 41 1
4120 957 43 0
4121 961 39 0
4122 951 49 0
4123 955 44 1
4124 946 52 2
4125 940 60 0
4126 940 60 0
4127 944 56 0
4128 950 49 1
4129 939 60 1
4130 928 70 2
4131 924 74 2
4132 923 76 1
4133 925 73 2
4134 933 67 0
4135 939 60 1
4136 934 64 2
4137 934 64 2
4138 926 74 0
4139 922 78 0
4140 926 73 1
4141 926 74 0
4142 908 90 2
4143 908 89 3
4144 916 82 2
4145 908 89 3
4146 916 83 1
4147 912 85 3
4148 926 74 0
4149 931 67 2
4150 918 80 2
4151 908 92 0
4152 913 84 3
4153 911 85 4
4154 918 81 1
4155 921 78 1
4156 910 89 1
4157 921 75 4
4158 929 71 0
4159 928 70 2
4160 935 64 1
4161 942 57 1
4162 946 52 2
4163 944 55 1
4164 945 54 1
4165 946 52 2
4166 935 64 1
4167 940 57 3
4168 945 54 1
4169 946 53 1
4170 956 44 0
4171 962 37 1
4172 951 49 0
4173 947 52 1
4174 950 49 1
4175 949 49 2
4176 936 64 0
4177 939 59 2
4178 935 62 3
4179 938 59 3
4180 936 63 1
4181 927 72 1
4182 936 64 0
4183 937 62 1
4184 951 48 1
4185 955 45 0
4186 968 32 0
4187 959 41 0
4188 965 34 1
4189 966 34 0
4190 964 36 0
4191 961 39 0
4192 957 42 1
4193 963 37 0
4194 973 27 0
4195 971 29 0
4196 973 27 0
4197 969 29 2
4198 972 28 0
4199 968 32 0
4200 970 30 0
4201 974 26 0
4202 977 23 0
4203 978 22 0
4204 971 29 0
4205 970 30 0
4206 964 36 0
4207 975 25 0
4208 980 20 0
4209 978 22 0
4210 981 19 0
4211 978 22 0
4212 978 22 0
4213 979 21 0
4214 983 17 0
4215 984 16 0
4216 978 22 0
4217 981 19 0
4218 987 13 0
4219 993 7 0
4220 995 5 0
4221 995 5 0
4222 995 5 0
4223 994 5 1
4224 986 14 0
4225 987 13 0
4226 985 15 0
4227 982 18 0
4228 979 21 0
4229 976 24 0
4230 977 23 0
4231 979 21 0
4232 990 10 0
4233 987 13 0
4234 990 10 0
4235 992 8 0
4236 996 4 0
4237 995 5 0
4238 994 6 0
4239 993 7 0
4240 994 6 0
4241 992 8 0
4242 997 3 0
4243 1000 0 0
