// Initial random seed:
1683965715577

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 997 3 0
4002 997 3 0
4003 996 4 0
4004 992 8 0
4005 990 10 0
4006 984 16 0
4007 982 17 1
4008 981 19 0
4009 983 17 0
4010 982 18 0
4011 981 19 0
4012 978 22 0
4013 979 20 1
4014 970 30 0
4015 970 30 0
4016 968 32 0
4017 966 34 0
4018 968 32 0
4019 971 29 0
4020 970 30 0
4021 971 29 0
4022 978 22 0
4023 971 29 0
4024 972 28 0
4025 964 36 0
4026 957 42 1
4027 942 58 0
4028 930 70 0
4029 924 73 3
4030 924 73 3
4031 911 87 2
4032 916 81 3
4033 922 76 2
4034 919 79 2
4035 907 89 4
4036 907 91 2
4037 897 101 2
4038 885 112 3
4039 878 120 2
4040 880 117 3
4041 880 116 4
4042 852 141 7
4043 863 135 2
4044 876 118 6
4045 868 128 4
4046 878 117 5
4047 892 103 5
4048 888 107 5
4049 909 87 4
4050 902 95 3
4051 900 96 4
4052 903 96 1
4053 901 96 3
4054 912 85 3
4055 912 86 2
4056 892 105 3
4057 881 119 0
4058 883 114 3
4059 885 111 4
4060 878 118 4
4061 869 124 7
4062 869 122 9
4063 843 149 8
4064 841 155 4
4065 857 136 7
4066 858 140 2
4067 870 127 3
4068 879 119 2
4069 877 121 2
4070 876 122 2
4071 878 118 4
4072 866 129 5
4073 878 119 3
4074 874 121 5
4075 860 134 6
4076 868 123 9
4077 872 125 3
4078 868 124 8
4079 871 126 3
4080 863 135 2
4081 873 124 3
4082 868 127 5
4083 888 107 5
4084 883 113 4
4085 884 113 3
4086 886 110 4
4087 894 102 4
4088 910 89 1
4089 911 88 1
4090 909 90 1
4091 904 94 2
4092 911 86 3
4093 909 90 1
4094 918 79 3
4095 926 72 2
4096 915 81 4
4097 908 88 4
4098 907 92 1
4099 895 99 6
4100 897 100 3
4101 908 91 1
4102 894 104 2
4103 894 104 2
4104 891 104 5
4105 892 105 3
4106 885 112 3
4107 876 120 4
4108 879 118 3
4109 881 112 7
4110 879 117 4
4111 879 117 4
4112 877 120 3
4113 874 121 5
4114 864 129 7
4115 857 140 3
4116 848 146 6
4117 852 142 6
4118 836 158 6
4119 843 151 6
4120 850 147 3
4121 855 141 4
4122 861 132 7
4123 858 139 3
4124 849 142 9
4125 855 143 2
4126 869 127 4
4127 854 141 5
4128 843 149 8
4129 840 148 12
4130 834 156 10
4131 814 177 9
4132 818 172 10
4133 807 182 11
4134 813 177 10
4135 798 192 10
4136 797 188 15
4137 798 190 12
4138 777 215 8
4139 794 197 9
4140 806 185 9
4141 790 198 12
4142 815 175 10
