// Initial random seed:
1796331914308

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 998 2 0
4002 995 5 0
4003 997 3 0
4004 994 6 0
4005 988 12 0
4006 991 9 0
4007 985 15 0
4008 979 21 0
4009 976 24 0
4010 972 28 0
4011 959 41 0
4012 958 41 1
4013 948 52 0
4014 952 48 0
4015 944 56 0
4016 950 49 1
4017 950 49 1
4018 963 37 0
4019 970 30 0
4020 970 30 0
4021 972 28 0
4022 969 31 0
4023 973 27 0
4024 971 28 1
4025 969 31 0
4026 969 31 0
4027 974 26 0
4028 978 22 0
4029 984 16 0
4030 978 22 0
4031 974 26 0
4032 972 27 1
4033 970 29 1
4034 971 29 0
4035 973 27 0
4036 980 20 0
4037 986 14 0
4038 991 9 0
4039 989 11 0
4040 988 12 0
4041 993 7 0
4042 989 11 0
4043 985 15 0
4044 984 16 0
4045 983 17 0
4046 981 19 0
4047 985 15 0
4048 992 8 0
4049 993 7 0
4050 989 11 0
4051 992 8 0
4052 992 8 0
4053 992 8 0
4054 997 3 0
4055 998 2 0
4056 996 4 0
4057 996 4 0
4058 996 4 0
4059 998 2 0
4060 1000 0 0
