chr start stop chr_12.AA/chr_12.BB
chr_12 1 10000 0.00338396694214876
chr_12 10001 20000 0.00379504132231405
chr_12 20001 30000 0.0016003305785124
chr_12 30001 40000 0.00174611570247934
chr_12 40001 50000 0.00142082644628099
chr_12 50001 60000 0.00158446280991736
chr_12 60001 70000 0.00186876033057851
chr_12 70001 80000 0.00152132231404959
chr_12 80001 90000 0.00149140495867769
chr_12 90001 1e+05 0.00133074380165289
chr_12 100001 110000 0.00145272727272727
chr_12 110001 120000 0.00112264462809917
chr_12 120001 130000 0.0013801652892562
chr_12 130001 140000 0.00139388429752066
chr_12 140001 150000 0.00119570247933884
chr_12 150001 160000 0.00197669421487603
chr_12 160001 170000 0.0026295867768595
chr_12 170001 180000 0.0031497520661157
chr_12 180001 190000 0.00149685950413223
chr_12 190001 2e+05 0.00216611570247934
chr_12 200001 210000 0.00204231404958678
chr_12 210001 220000 0.00192115702479339
chr_12 220001 230000 0.00160280991735537
chr_12 230001 240000 0.00259702479338843
chr_12 240001 250000 0.00310561983471074
chr_12 250001 260000 0.00357223140495868
chr_12 260001 270000 0.00297553719008264
chr_12 270001 280000 0.00234165289256198
chr_12 280001 290000 0.00230198347107438
chr_12 290001 3e+05 0.00327123966942149
chr_12 300001 310000 0.00264528925619835
chr_12 310001 320000 0.00354661157024793
chr_12 320001 330000 0.00234909090909091
chr_12 330001 340000 0.0028304132231405
chr_12 340001 350000 0.00379471074380165
chr_12 350001 360000 0.0044295867768595
chr_12 360001 370000 0.00489239669421488
chr_12 370001 380000 0.00578545454545455
chr_12 380001 390000 0.00601652892561984
chr_12 390001 4e+05 0.00607520661157025
chr_12 400001 410000 0.00443438016528926
chr_12 410001 420000 0.00496165289256198
chr_12 420001 430000 0.00560842975206612
chr_12 430001 440000 0.00470330578512397
chr_12 440001 450000 0.00470148760330579
chr_12 450001 460000 0.00215702479338843
chr_12 460001 470000 0.0051398347107438
chr_12 470001 480000 0.00585504132231405
chr_12 480001 490000 0.0053495867768595
chr_12 490001 5e+05 0.0061603305785124
chr_12 500001 510000 0.00771107438016529
chr_12 510001 520000 0.00479818181818182
chr_12 520001 530000 0.00541900826446281
chr_12 530001 540000 0.00492347107438016
chr_12 540001 550000 0.00467520661157025
chr_12 550001 560000 0.00617900826446281
chr_12 560001 570000 0.00473669421487603
chr_12 570001 580000 0.00402446280991736
chr_12 580001 590000 0.00421917355371901
chr_12 590001 6e+05 0.00267074380165289
chr_12 600001 610000 0.00476132231404959
chr_12 610001 620000 0.00485123966942149
chr_12 620001 630000 0.00472909090909091
chr_12 630001 640000 0.00702628099173554
chr_12 640001 650000 0.00478165289256198
chr_12 650001 660000 0.0044603305785124
chr_12 660001 670000 0.0057401652892562
chr_12 670001 680000 0.0052996694214876
chr_12 680001 690000 0.00327487603305785
chr_12 690001 7e+05 0.00453074380165289
chr_12 700001 710000 0.00477669421487603
chr_12 710001 720000 0.00243140495867769
chr_12 720001 730000 0.00347239669421488
chr_12 730001 740000 0.00584743801652893
chr_12 740001 750000 0.00369272727272727
chr_12 750001 760000 0.00473421487603306
chr_12 760001 770000 0.00393917355371901
chr_12 770001 780000 0.00286495867768595
chr_12 780001 790000 0.00479190082644628
chr_12 790001 8e+05 0.00577603305785124
chr_12 800001 810000 0.00640066115702479
chr_12 810001 820000 0.00473801652892562
