chr start stop chr_12.AA chr_12.BB
chr_12 1 10000 0.00331517906336088 0.0034
chr_12 10001 20000 0.00370873278236915 0.00352
chr_12 20001 30000 0.00111589531680441 0.0017
chr_12 30001 40000 0.00114964187327824 0.00202
chr_12 40001 50000 0.000905371900826446 0.00162
chr_12 50001 60000 0.00112239669421488 0.00164
chr_12 60001 70000 0.0015070523415978 0.0021
chr_12 70001 80000 0.000909338842975207 0.00182
chr_12 80001 90000 0.00144482093663912 0.0016
chr_12 90001 1e+05 0.00109581267217631 0.0016
chr_12 100001 110000 0.00118022038567493 0.00172
chr_12 110001 120000 0.000889035812672176 0.00132
chr_12 120001 130000 0.00106796143250689 0.00166
chr_12 130001 140000 0.00124801652892562 0.00158
chr_12 140001 150000 0.00125052341597796 0.00112
chr_12 150001 160000 0.00206272727272727 0.00192
chr_12 160001 170000 0.00271515151515152 0.00288
chr_12 170001 180000 0.00313110192837466 0.0035
chr_12 180001 190000 0.00145148760330579 0.0016
chr_12 190001 2e+05 0.00212482093663912 0.00228
chr_12 200001 210000 0.00232242424242424 0.00192
chr_12 210001 220000 0.00214234159779614 0.00168
chr_12 220001 230000 0.00172798898071625 0.00144
chr_12 230001 240000 0.0026995041322314 0.0024
chr_12 240001 250000 0.00302666666666667 0.0035
chr_12 250001 260000 0.00344349862258953 0.00382
chr_12 260001 270000 0.00296691460055096 0.00288
chr_12 270001 280000 0.00246969696969697 0.002
chr_12 280001 290000 0.00226168044077135 0.00208
chr_12 290001 3e+05 0.00337812672176309 0.0031
chr_12 300001 310000 0.00255597796143251 0.00292
chr_12 310001 320000 0.00312358126721763 0.00388
chr_12 320001 330000 0.00215438016528926 0.00244
chr_12 330001 340000 0.00243162534435262 0.00306
chr_12 340001 350000 0.00334223140495868 0.00424
chr_12 350001 360000 0.0040968044077135 0.0047
chr_12 360001 370000 0.00480520661157025 0.00466
chr_12 370001 380000 0.00585157024793388 0.0053
chr_12 380001 390000 0.00570644628099174 0.00644
chr_12 390001 4e+05 0.0057969696969697 0.0063
chr_12 400001 410000 0.00438140495867769 0.00452
chr_12 410001 420000 0.00484820936639118 0.00518
chr_12 420001 430000 0.00545297520661157 0.00614
chr_12 430001 440000 0.00464493112947658 0.0049
chr_12 440001 450000 0.00476834710743802 0.00474
chr_12 450001 460000 0.00207581267217631 0.00208
chr_12 460001 470000 0.00506220385674931 0.00514
chr_12 470001 480000 0.00561845730027548 0.00616
chr_12 480001 490000 0.00548920110192837 0.00524
chr_12 490001 5e+05 0.00611203856749311 0.00626
chr_12 500001 510000 0.00782349862258953 0.00762
chr_12 510001 520000 0.00457030303030303 0.0049
chr_12 520001 530000 0.00547994490358127 0.00544
chr_12 530001 540000 0.00463402203856749 0.00528
chr_12 540001 550000 0.00460426997245179 0.00482
chr_12 550001 560000 0.00611669421487603 0.00608
chr_12 560001 570000 0.00453597796143251 0.00492
chr_12 570001 580000 0.00379338842975207 0.00408
chr_12 580001 590000 0.00431129476584022 0.00418
chr_12 590001 6e+05 0.00271275482093664 0.0028
chr_12 600001 610000 0.00446228650137741 0.0053
chr_12 610001 620000 0.00457404958677686 0.00528
chr_12 620001 630000 0.00453628099173554 0.00494
chr_12 630001 640000 0.00723011019283747 0.0067
chr_12 640001 650000 0.00487223140495868 0.0044
chr_12 650001 660000 0.00450146005509642 0.0043
chr_12 660001 670000 0.00541038567493113 0.00592
chr_12 670001 680000 0.00496925619834711 0.00544
chr_12 680001 690000 0.00311195592286501 0.00334
chr_12 690001 7e+05 0.00454977961432507 0.0043
chr_12 700001 710000 0.00461325068870523 0.00498
chr_12 710001 720000 0.00272702479338843 0.0021
chr_12 720001 730000 0.00328548209366391 0.00386
chr_12 730001 740000 0.00615234159779614 0.00534
chr_12 740001 750000 0.00392716253443526 0.0035
chr_12 750001 760000 0.00457633608815427 0.00482
chr_12 760001 770000 0.00404564738292011 0.00362
chr_12 770001 780000 0.00287066115702479 0.00276
chr_12 780001 790000 0.00464011019283747 0.00514
chr_12 790001 8e+05 0.00571146005509642 0.00574
chr_12 800001 810000 0.00659027548209366 0.00612
chr_12 810001 820000 0.00466418732782369 0.00472
chr_12 820001 830000 0.00441851239669422 0.00444
chr_12 830001 840000 0.00654768595041322 0.00656
chr_12 840001 850000 0.00584942148760331 0.00544
chr_12 850001 860000 0.00356997245179063 0.00382
chr_12 860001 870000 0.0049201652892562 0.0056
chr_12 870001 880000 0.0037498347107438 0.00384
chr_12 880001 890000 0.00051831955922865 5e-04
chr_12 890001 9e+05 0.000231432506887052 0.00026
chr_12 900001 910000 0.000216887052341598 0.00026
chr_12 910001 920000 0 0
chr_12 920001 930000 0.000343278236914601 0.00028
chr_12 930001 940000 0.00029030303030303 0.00018
chr_12 940001 950000 0.00555903581267218 0.00588
chr_12 950001 960000 0.00546575757575758 0.00622
chr_12 960001 970000 0.00459300275482094 0.00452
chr_12 970001 980000 0.0052734435261708 0.00522
chr_12 980001 990000 0.00362176308539945 0.0036
chr_12 990001 1e+06 0.00460011019283746 0.00508
