chr pos1 pos2 lunitmin lunitmax nrep
chr_8 1 100000 10 20 74.4
chr_8 100001 200000 10 20 101.6
chr_8 200001 300000 10 20 245.4
chr_8 300001 400000 10 20 302.2
chr_8 400001 500000 10 20 232
chr_8 500001 600000 10 20 449.3
chr_8 600001 700000 10 20 678
chr_8 700001 800000 10 20 527.2
chr_8 800001 900000 10 20 316.6
chr_8 900001 1000000 10 20 362.2
chr_8 1000001 1100000 10 20 33.5
chr_8 1100001 1200000 10 20 415.3
chr_8 1200001 1300000 10 20 241.4
chr_8 1400001 1500000 10 20 143.4
chr_8 1500001 1600000 10 20 18.8
chr_8 1600001 1700000 10 20 27.8
chr_8 1700001 1800000 10 20 49.4
chr_8 1800001 1900000 10 20 17.1
chr_8 1900001 2000000 10 20 30.8
chr_8 2000001 2100000 10 20 13.5
chr_8 2200001 2300000 10 20 45.6
chr_8 2300001 2400000 10 20 200.3
chr_8 2400001 2500000 10 20 135.6
chr_8 2500001 2600000 10 20 80.1
chr_8 2600001 2700000 10 20 16.6
chr_8 3000001 3100000 10 20 130.9
chr_8 3100001 3200000 10 20 64.3
chr_8 3500001 3600000 10 20 36.9
chr_8 3900001 4000000 10 20 15.1
chr_8 4000001 4100000 10 20 15.7
chr_8 4600001 4700000 10 20 24.4
chr_8 5000001 5100000 10 20 11.3
chr_8 5100001 5200000 10 20 26.2
chr_8 5200001 5300000 10 20 34.8
chr_8 5300001 5400000 10 20 30.4
chr_8 5400001 5500000 10 20 17.8
chr_8 5700001 5800000 10 20 10.4
chr_8 5900001 6000000 10 20 17.5
chr_8 6300001 6400000 10 20 14.8
chr_8 6700001 6800000 10 20 11.2
chr_8 6800001 6900000 10 20 83.8
chr_8 7200001 7300000 10 20 80.7
chr_8 8000001 8100000 10 20 22.8
chr_8 8400001 8500000 10 20 77.2
chr_8 9000001 9100000 10 20 12.8
chr_8 11400001 11500000 10 20 17.2
chr_8 12000001 12100000 10 20 26.3
chr_8 12200001 12300000 10 20 17.8
chr_8 12700001 12800000 10 20 39.2
chr_8 13200001 13300000 10 20 94.2
chr_8 13300001 13400000 10 20 14.4
chr_8 14000001 14100000 10 20 10.2
chr_8 14300001 14400000 10 20 59.5
chr_8 16300001 16400000 10 20 40.9
chr_8 17200001 17300000 10 20 10.1
chr_8 17400001 17500000 10 20 11.9
chr_8 18600001 18700000 10 20 10.6
chr_8 18700001 18800000 10 20 22.1
chr_8 19300001 19400000 10 20 10.7
chr_8 21000001 21100000 10 20 11.2
chr_8 21100001 21200000 10 20 157.9
chr_8 21700001 21800000 10 20 120.1
chr_8 22700001 22800000 10 20 18.4
chr_8 24000001 24100000 10 20 21.1
chr_8 24200001 24300000 10 20 23.3
chr_8 24400001 24500000 10 20 53.2
chr_8 24600001 24700000 10 20 11.1
chr_8 24700001 24800000 10 20 101.8
chr_8 24900001 25000000 10 20 15.6
chr_8 25200001 25300000 10 20 32.3
chr_8 25300001 25400000 10 20 20.6
chr_8 26300001 26400000 10 20 73.1
