pos medtmrca geno interval
8087 16 AA out
18087 12 AA out
28087 9 AA out
38087 16 AA out
48087 10 AA out
58087 9 AA out
68087 6 AA out
78087 5 AA out
88087 5 AA out
98087 5 AA out
108087 7 AA out
118087 6 AA out
128087 10 AA out
138087 8 AA out
148087 12 AA out
158087 14 AA out
168087 18 AA out
178087 18 AA out
188087 8 AA out
198087 14 AA out
208087 10 AA out
218087 6 AA out
238087 16 AA out
248087 9 AA out
258087 7 AA out
268087 16 AA out
278087 14 AA out
288087 13 AA out
298087 15 AA out
308087 13 AA out
318087 14 AA out
328087 8 AA out
338087 12 AA out
348087 16 AA out
358087 16 AA out
368087 16 AA out
378087 17 AA out
388087 17 AA out
398087 18 AA out
408087 10 AA out
418087 16 AA out
428087 17 AA out
438087 18 AA out
448087 13 AA out
458087 14 AA out
468087 15 AA out
478087 16 AA out
488087 14 AA out
498087 16 AA out
508087 16 AA out
518087 16 AA out
528087 17 AA out
538087 16 AA out
548087 19 AA out
558087 18 AA out
568087 15 AA out
578087 18 AA out
588087 14 AA out
598087 11 AA out
608087 18 AA out
618087 18 AA out
628087 20 AA out
638087 18 AA out
648087 17 AA out
658087 15 AA out
668087 15 AA out
678087 20 AA out
688087 18 AA out
698087 20 AA out
708087 12 AA out
718087 12 AA out
728087 15 AA out
738087 12 AA out
748087 20 AA out
758087 15 AA out
768087 18 AA out
778087 10 AA out
788087 13 AA out
798087 15 AA out
808087 18 AA out
818087 16 AA out
828087 15 AA out
838087 20 AA out
848087 17 AA out
858087 16 AA out
868087 20 AA out
878087 15 AA out
888087 16 AA out
928087 16 AA out
938087 18 AA out
948087 16 AA out
958087 18 AA out
968087 19 AA out
978087 14 AA out
988087 14 AA out
998087 14 AA out
1008090 13 AA out
1018090 19 AA out
1028090 18 AA out
1038090 15 AA out
1048090 16 AA out
1058090 16 AA out
1068090 18 AA out
1078090 18 AA out
1088090 20 AA out
1098090 20 AA out
1108090 18 AA out
1118090 18 AA out
1128090 16 AA out
1138090 16 AA out
1148090 17 AA out
1158090 18 AA out
1168090 16 AA out
1178090 19 AA out
1188090 19 AA out
1198090 17 AA out
1208090 13 AA out
1218090 18 AA out
1228090 18 AA out
1238090 19 AA out
1248090 16 AA out
1258090 14 AA out
1268090 14 AA out
1278090 16 AA out
1288090 17 AA out
1298090 11 AA out
1308090 18 AA out
1318090 17 AA out
1328090 14 AA out
1338090 14 AA out
1348090 16 AA out
1358090 20 AA out
1368090 16 AA out
1378090 16 AA out
1388090 18 AA out
1398090 18 AA out
1408090 16 AA out
1418090 18 AA out
1428090 16 AA out
1438090 14 AA out
1448090 14 AA out
1458090 16 AA out
1468090 14 AA out
1478090 20 AA out
1488090 18 AA out
1498090 10 AA out
1508090 18 AA out
